groupid,name,estimate0,estimate1,estimate,lower,upper,prob1,prob2
11,dc,0.5054807529241316,0.5051240410700828,-2.4433605759976995e-4,-0.011083200416227505,0.011013527515178348,0.482,0.964
11,denver,0.4856830255729666,0.479540958368736,-0.006177183962298549,-0.018617956864161057,0.006728321966326037,0.16,0.32
11,el_paso,0.4860780683349273,0.48336146617552034,-0.0027390355269546196,-0.015737432981440588,0.010364653851328601,0.332,0.664
11,fort_worth,0.5037590358223456,0.4979110165683197,-0.005451708203244476,-0.015543704132544944,0.0049137047249167,0.14,0.28
11,houston,0.47835472011444935,0.4760318074085965,-0.00244729420285264,-0.007688404398879483,0.0028667325186549747,0.201,0.402
11,indianapolis,0.5365117232537034,0.5374130822659273,9.827712863629268e-4,-0.00897895172963567,0.011199058078084934,0.418,0.836
11,jacksonville,0.5378126696460128,0.5393517947709136,0.0016015926774287648,-0.010164235637984725,0.012748906750981837,0.395,0.79
11,la,0.44051418377425033,0.44150945067369385,9.558776050595796e-4,-0.003959202887565969,0.006333305802705465,0.349,0.698
11,nashville,0.519372599635967,0.5198511702831905,2.8965877526471173e-4,-0.012162984901080733,0.01233337114529279,0.476,0.952
11,nyc,0.4451864993980006,0.448890316789483,0.0036371860338352824,4.5048195283833723e-4,0.007127570827684028,0.017,0.034
11,oklahoma,0.5227727827362734,0.5209227218317566,-0.0018897423717630923,-0.012285045153331814,0.00869671627914204,0.37,0.74
11,philadelphia,0.5193712937545341,0.5234961023761707,0.004273328355405337,-0.004563285100641209,0.011619135699755222,0.181,0.362
11,phoenix,0.49044508833927425,0.48845233378164776,-0.0022314922092043776,-0.009661516664530682,0.004949250621078986,0.299,0.598
11,portland,0.508791562998076,0.5076808647614934,-0.001378384130375998,-0.013103738864200725,0.011479781136331833,0.408,0.816
11,san_antonio,0.49774605970212593,0.4978770376825301,1.7501030094430048e-4,-0.008851961439033842,0.008812350287004004,0.486,0.972
11,san_diego,0.48738048244074955,0.49351651368840355,0.00617236436144869,-0.0014027658678576439,0.014320871644131719,0.058,0.116
11,san_francisco,0.4233015753437077,0.417808937082178,-0.005463377563020316,-0.015679616661411086,0.004627702395096419,0.155,0.31
11,san_jose,0.4445218770385232,0.44630007775060276,0.0017823975194320996,-0.007912320227807057,0.01204686837174902,0.367,0.734
11,seattle,0.48739453635192653,0.48355492976785575,-0.003871107873310603,-0.01592551310074213,0.008700549072126982,0.257,0.514
12,austin,0.4762172723849761,0.47612139014952004,5.1134506574512795e-5,-0.009652079793463508,0.009840935802376355,0.494,0.988
12,boston,0.4516744023646317,0.45236619193098004,4.5025373693846626e-4,-0.010620499393886953,0.010749460026634834,0.475,0.95
12,charlotte,0.506154019010905,0.5060698904007093,6.112248426537459e-5,-0.009714666386033572,0.010394025826506429,0.497,0.994
12,chicago,0.5117680980554975,0.5118446565375294,-9.074360603178455e-5,-0.0054216816533243315,0.005261397210988667,0.484,0.968
12,columbus,0.5598685187264607,0.5596722031282108,2.3110431181194713e-5,-0.009595259855207303,0.009306555808502471,0.498,0.996
12,dallas,0.46844759891818233,0.46847366649613403,1.3227058753922938e-4,-0.007791287162993316,0.008520008921897174,0.483,0.966
12,dc,0.5054642465786889,0.5056273411468968,-3.578264424436983e-4,-0.011508088461075474,0.011972851212832591,0.483,0.966
12,denver,0.48545704592190575,0.48585553486536803,2.2739159264759112e-4,-0.012748043622954636,0.012664915528882366,0.488,0.976
12,el_paso,0.48620049385381564,0.48609778934858816,8.023434323378709e-6,-0.013005967194026228,0.01328209917479925,0.499,0.998
12,fort_worth,0.5038910268068588,0.5040309607818722,2.602810260646238e-4,-0.01000892320861631,0.009938727499573549,0.484,0.968
12,houston,0.4784806441538738,0.47839580818300675,-1.2466397479571345e-4,-0.005077241719935485,0.005259005020923319,0.481,0.962
12,indianapolis,0.5363994844070341,0.5363131445422048,7.997224176253814e-5,-0.009495350967427024,0.010540691513803711,0.496,0.992
12,jacksonville,0.5377507731060959,0.5376346213050889,1.3038530777664814e-5,-0.011694239616822442,0.011153280110194534,0.499,0.998
12,la,0.4404834005512212,0.4404980723307773,1.719472667754962e-5,-0.005252092403241126,0.00525673765260738,0.499,0.998
12,nashville,0.5193146303078421,0.5192405092743541,-9.494252897168654e-5,-0.01252716858920074,0.011383304741430884,0.493,0.986
12,nyc,0.44515575926510786,0.44516747560839476,-6.214929382558632e-5,-0.0035825087427896695,0.0033183276936043725,0.486,0.972
12,oklahoma,0.5223417409935496,0.5225625186886277,2.5677471819218756e-4,-0.009900845118084894,0.009633710008838605,0.484,0.968
12,philadelphia,0.519289778682442,0.5191069653176263,-2.247868330564895e-4,-0.008385148427842748,0.008027893861026935,0.477,0.954
12,phoenix,0.49060866431000566,0.4905222939661221,1.5844971370765348e-4,-0.007701158482292853,0.007653472244906304,0.49,0.98
12,portland,0.5085121768668532,0.5087138817701404,2.498086162066593e-4,-0.011972249798513619,0.011961599940615495,0.492,0.984
12,san_antonio,0.4978183298183028,0.49773888229693675,-1.5921013531464134e-4,-0.008299151615937337,0.008683244787878752,0.484,0.968
12,san_diego,0.48733101962182035,0.4874398308843972,1.76359845642321e-4,-0.008438412228670207,0.008526279765585522,0.482,0.964
12,san_francisco,0.42308289746992495,0.4231356155826578,1.826771692340634e-4,-0.010508203368958998,0.010820764087143771,0.483,0.966
12,san_jose,0.4443869785596977,0.4444561215743976,6.919217559991919e-5,-0.010057397991926027,0.009563150822913456,0.492,0.984
12,seattle,0.48727006730125755,0.4873524723880622,7.213067422046082e-6,-0.011259018388034284,0.011196812016579447,0.499,0.998
13,austin,0.6666648506124252,0.6732435628343743,0.007103481255078314,-0.012950422317684394,0.027796910540149846,0.235,0.47
13,boston,0.5778021662239066,0.5805234252281344,0.003189318883533465,-0.021519721048751245,0.026159605994203975,0.392,0.784
13,charlotte,0.4154958707536023,0.41214111849345436,-0.0031638364843883937,-0.025836792401408404,0.017323737430469163,0.369,0.738
13,chicago,0.3792236691569078,0.3856450639789147,0.006499655721309033,-0.004816631076862026,0.017513984177332225,0.136,0.272
13,columbus,0.5896870063060201,0.5998903163869727,0.0105274740354242,-0.008978756715991784,0.0312890437090066,0.159,0.318
13,dallas,0.3741113900499772,0.37542277774621546,0.0018203447145704321,-0.014395814792168109,0.016460055251291256,0.411,0.822
13,dc,0.6547459846313133,0.6792822442864421,0.024108459862713816,0.0014589991326681487,0.04797139360614338,0.019,0.038
13,denver,0.5475752175185009,0.551373879193829,0.0039005478377792113,-0.023638566796916078,0.02965798835457952,0.378,0.756
13,el_paso,0.32073579074335934,0.32490166188399805,0.00384593774958758,-0.02456446961584461,0.02978459393857734,0.386,0.772
13,fort_worth,0.38199239267260887,0.38258891770805603,-1.1310759108759671e-4,-0.02014066901028715,0.020440126784505883,0.493,0.986
13,houston,0.4545114191291617,0.4545725395002249,1.3064237727114514e-4,-0.011766574481746854,0.011507278615576839,0.496,0.992
13,indianapolis,0.530086343257113,0.5340304829851376,0.004000188675742589,-0.01915946282144222,0.025774912484857932,0.369,0.738
13,jacksonville,0.4858319741999161,0.48566016501252984,-8.422811411265274e-4,-0.024008945469759332,0.02624731742651035,0.477,0.954
13,la,0.3240732594761979,0.343122368795608,0.018951197850615664,0.00908899562859692,0.02843086380112654,0,0
13,nashville,0.5536686808347372,0.5561822037430795,0.0026672773288607954,-0.023205495125630457,0.031001796681528023,0.415,0.83
13,nyc,0.30698541432437,0.32673923529812987,0.019766212288623353,0.013238908075478673,0.02653208918035066,0,0
13,oklahoma,0.48644995597103596,0.49042302199727167,0.004270616770139485,-0.018364299935567586,0.025538595094180508,0.367,0.734
13,philadelphia,0.45082063711539716,0.4615730501914701,0.010894112949811574,-0.008855689106306136,0.029393222375099472,0.144,0.288
13,phoenix,0.3961605374929748,0.4029741707258111,0.006659232655867292,-0.009006010189718212,0.023290819124550586,0.192,0.384
13,portland,0.5380628613036007,0.5456201623787218,0.007961658137957794,-0.01847959745763319,0.034843681571722476,0.302,0.604
13,san_antonio,0.38490292718481045,0.38841004858391864,0.0035241928182349613,-0.016408731527524523,0.021063594113293758,0.362,0.724
