place_id,name,lat,lng,type,term,categories,business_status,user_ratings_total
ChIJk2dlL-J-44kRv9CsJFuYOMM,Turtle Pond,42.2664164,-71.14257959999999,Park,park,park; point_of_interest; establishment,OPERATIONAL,47
ChIJk2dlL-J-44kRv9CsJFuYOMM,Turtle Pond,42.2664164,-71.14257959999999,Park,square,park; point_of_interest; establishment,OPERATIONAL,47
ChIJK2omKU9744kRnVROucNxdR4,Harvard Square Eye Care,42.34110030000001,-71.08155599999999,Park,square,health; point_of_interest; establishment,CLOSED_TEMPORARILY,0
ChIJk2QnhIN344kRjEtEz7EqpiM,Sofra Bakery & Cafe,42.3749056,-71.1503056,Social Business,cafe,bakery; cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,1201
ChIJk2rrsDR544kREn50WcXtCqE,Levinson Plaza,42.3335835,-71.10903619999999,Place of Worship,place of worship,place_of_worship; point_of_interest; establishment,OPERATIONAL,0
ChIJK2Rrvmlx44kR1rh7GxTCl6U,Courthouse Square,42.3531278,-71.0472016,Park,square,park; point_of_interest; establishment,OPERATIONAL,0
ChIJk3VOtPZ744kRUt-9jpdH8HU,Mt Olive Kingdom Builders Center,42.285,-71.08027779999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,25
ChIJk4G4Vp9544kRtM2TBycBSC8,"Square Medical 124 Watertown,MA",42.3160339,-71.1135951,Park,square,hospital; health; point_of_interest; establishment,OPERATIONAL,0
ChIJK5IPWMx-44kRlbzW8LpnWuE,Jimmies Cafe,42.2859328,-71.12920489999999,Social Business,cafe,restaurant; food; point_of_interest; store; establishment,OPERATIONAL,87
ChIJK89zW1R344kRz7jYZfKShKA,Franklin Street Park,42.3677403,-71.11039110000002,Park,park,park; point_of_interest; establishment,OPERATIONAL,7
ChIJk8F2F0Z644kRQJhm-wAdzRg,Clifford Playground,42.3262893,-71.0689089,Park,park,park; point_of_interest; establishment,OPERATIONAL,128
ChIJkanR9BN344kRpo_pKWdkuF4,Raymond Park,42.3865671,-71.1278701,Park,park,park; point_of_interest; establishment,OPERATIONAL,115
ChIJkcH0T41-44kRw7PVjLDvin8,Hyde Park SDA Church,42.2575827,-71.1203055,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,17
ChIJKdxHgZtw44kRXVAcIXwSa_Y,inSpirit: The UU Book and Gift Shop,42.3516745,-71.04844419999999,Social Business,bookstore,book_store; point_of_interest; store; establishment,OPERATIONAL,3
ChIJKeGTxVZ344kRYqolQzWeIlQ,First Baptist Church Cambridge,42.3648046,-71.1050696,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,7
ChIJKePlaR9544kRZxXPsuldatw,Jackson Square,42.3226002,-71.09847309999999,Park,square,point_of_interest; establishment,OPERATIONAL,2
ChIJKQqtgTx644kRyWy30iiUasQ,Lopez Comnelio,42.3327163,-71.0828037,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0
ChIJKQYNEZ9w44kRKF7iZpSk1uI,Church of the Advent,42.3577747,-71.0715924,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,25
ChIJkR_2Txpt44kRVSxQOZ8f0Bg,People's Choice,42.4631161,-70.96388979999999,Park,square,restaurant; food; point_of_interest; establishment,OPERATIONAL,81
ChIJkRzOP8R544kR9fcEsla4H0s,Beka's Church,42.3511877,-71.1290049,Place of Worship,place of worship,place_of_worship; point_of_interest; establishment,OPERATIONAL,2
ChIJkSwXiCpu44kR-dgQAGozIGs,Bayswater Street Park,42.3823069,-70.9997236,Park,park,park; point_of_interest; establishment,OPERATIONAL,40
ChIJkTg_nJd544kRHZKLpN0vZ-w,Linden Park,42.3349123,-71.1181507,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,19
ChIJkV4xslt544kRtevNNhRpSvU,Jamaica Pond Park,42.3158763,-71.1174874,Park,park,park; point_of_interest; establishment,OPERATIONAL,0
ChIJKVOeUppw44kRj4YCHotL2SU,Hill House,42.36075,-71.065367,Community Space,community center,point_of_interest; establishment,OPERATIONAL,1
ChIJKwueLaJ744kR6rWwhXSM_XY,Neponset Ave @ Adams St King Square,42.297184,-71.056392,Park,square,transit_station; point_of_interest; establishment,OPERATIONAL,0
ChIJKX7WARd644kR3R7WqDrMEsU,Anchor Church Boston,42.3520452,-71.0711798,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,21
ChIJkXA8bkVw44kRDg_40pnFqXU,Kelley Square Pub,42.376138,-71.035773,Park,square,restaurant; bar; food; point_of_interest; establishment,OPERATIONAL,633
ChIJkxpjWlF344kROfFhRDPSWU0,Central,42.3652745,-71.1035867,Park,square,subway_station; transit_station; point_of_interest; establishment,OPERATIONAL,153
ChIJkXxLifR544kR5BuvsOWXAls,Roberto Clemente park,42.3429041,-71.1022158,Park,park,park; point_of_interest; establishment,OPERATIONAL,1
ChIJkxyfc0B444kRErDUIRfm-tQ,Brighton Church of Pentecost,42.3513907,-71.1674014,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,12
ChIJky0A5Itw44kRJHMclOEA9xA,Iglesia Comunitaria Casa De Gloria,42.36625919999999,-71.054608,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,1
ChIJKyDHLMNw44kRKlV85OoMrwg,Sullivan Square,42.3840364,-71.0766826,Park,square,transit_station; bus_station; subway_station; point_of_interest; establishment,OPERATIONAL,103
ChIJKyNuvJ1w44kRBE-pe_yDhj8,Boston Common,42.3550897,-71.0657256,Park,park,tourist_attraction; park; point_of_interest; establishment,OPERATIONAL,25749
ChIJKYVmaJN744kRVYPslJQfXXk,Spots Cleaners & Tailoring,42.2920993,-71.07198620000001,Park,square,laundry; point_of_interest; establishment,OPERATIONAL,18
ChIJkz2J7SV544kRUrqfFOuTeWU,Golgotha Seventh-Day Adventist Church,42.2986774,-71.1299646,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0
ChIJKzS2KLF544kR_oCstZ8Yolw,City on a Hill Church Brookline,42.3451674,-71.1242051,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,27
ChIJKzT8CgJ544kR0nl5MuOm2TY,Robert & Theresa Parks Community Building,42.3342077,-71.1091144,Community Space,community center,point_of_interest; establishment,OPERATIONAL,0
ChIJl_lIn2B744kRclsfhCXNPgg,North Quincy Library,42.273981,-71.0264105,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,17
ChIJL_uPeAt644kRHVdCSYRySW8,Katharine Gibbs School Library,42.351002,-71.0763936,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,0
ChIJl-0syxx644kR1XSUyCx79v4,Comicopia,42.348631,-71.09304519999999,Social Business,bookstore,book_store; point_of_interest; store; establishment,OPERATIONAL,229
ChIJL-b__f9w44kRgxzmknLbDgA,Mary O'Malley State Park,42.3880176,-71.04996729999999,Park,park,tourist_attraction; park; point_of_interest; establishment,OPERATIONAL,570
ChIJl01qJEN344kRtfeOCiSbbzo,J.P. Licks,42.3728668,-71.1175184,Park,square,cafe; food; point_of_interest; store; establishment,OPERATIONAL,602
ChIJl0Vl3st_44kRsqKwg8cyZVk,Playground,42.280156,-71.15660000000001,Park,park,park; point_of_interest; establishment,OPERATIONAL,3
ChIJl1x1zuds44kRdbrBIv8wjZU,Central Square Farmers Market,42.4634417,-70.94350949999999,Park,square,point_of_interest; establishment,OPERATIONAL,15
ChIJL2PJ--t444kRBN3UWKiiUCE,Boston Tenrikyo Fellowship,42.3181896,-71.1629591,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0
ChIJL3BXy4tw44kRxqQMzN1fooM,Taste This Tours,42.3665651,-71.0528643,Park,fountain,travel_agency; point_of_interest; establishment,OPERATIONAL,0
ChIJL3zfML5744kR99awQXE1_nw,Square Licensed Electricians,42.3158859,-71.0659719,Park,square,electrician; point_of_interest; establishment,OPERATIONAL,1
ChIJl4SpjlR344kR-a5J8f_YNvo,Jill Brown-Rhone Park,42.3632989,-71.099891,Park,park,park; point_of_interest; establishment,OPERATIONAL,11
ChIJl4xMw31y44kRIAPBO3X-X5c,New Hope Assembly,42.4563176,-71.00805950000002,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,6
ChIJL5KukZJ744kRnbuhmGFtgLM,Next Step Soul Food Cafe,42.2888239,-71.0712992,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,145
ChIJL5pWFAx644kRhNI4wTm4Pi0,Old South Church in Boston,42.3502705,-71.0779719,Place of Worship,place of worship,church; tourist_attraction; place_of_worship; point_of_interest; establishment,OPERATIONAL,302
ChIJL690tiN544kREUTVRKNrrvE,Barnes & Noble at Boston University,42.3509686,-71.1165159,Social Business,bookstore,book_store; point_of_interest; store; establishment,OPERATIONAL,49
ChIJL7f1hUx644kRQzAGAMeDgDI,The Universal Church,42.3173279,-71.0661537,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,6
ChIJL7fVrn1544kRo5kICAdE0RY,Egleston Square Peace Garden,42.31457109999999,-71.0996846,Park,square,park; point_of_interest; establishment,OPERATIONAL,35
ChIJL90w_pF644kRtS6XQUa-Ihw,Tynan Community Center,42.3345263,-71.0390073,Community Space,community center,point_of_interest; establishment,OPERATIONAL,11
